Environment,Algorithm,success_rate,avg_path_length,num_corners,min_collision_dist,inference_time_s,max_corner_deg,planning_cost
Env. (forest_a),IDDQN,0.0,,,,0.35453,,inf
Env. (forest_a),DQN,1.0,9.6217,0,0.4403,0.1389,1,9.691
Env. (forest_a),Hybrid A*,1.0,9.2829,5,0.458,1.52769,4,10.047
Env. (forest_a),RRT*,1.0,22.4234,0,0.4824,3.71738,1,24.282
Env. (forest_b),IDDQN,0.0,,,,0.2728,,inf
Env. (forest_b),DQN,0.0,,,,0.22834,,inf
Env. (forest_b),Hybrid A*,1.0,7.1779,6,0.4437,1.49513,4,7.925
Env. (forest_b),RRT*,1.0,9.2335,0,0.4453,0.6927,1,9.58
Env. (forest_c),IDDQN,0.0,,,,0.21438,,inf
Env. (forest_c),DQN,0.0,,,,0.19431,,inf
Env. (forest_c),Hybrid A*,1.0,7.4827,3,0.4347,0.75737,4,7.861
Env. (forest_c),RRT*,1.0,22.7487,0,0.4467,4.20654,1,24.852
Env. (forest_d),IDDQN,1.0,5.304,0,0.4355,0.09205,1,5.35
Env. (forest_d),DQN,1.0,5.6677,0,0.4707,0.10007,1,5.718
Env. (forest_d),Hybrid A*,1.0,5.679,6,0.4387,2.21063,4,6.784
Env. (forest_d),RRT*,1.0,9.2046,0,0.5002,0.11554,1,9.262
