Environment,Algorithm,success_rate,avg_path_length,num_corners,min_collision_dist,inference_time_s,max_corner_deg,planning_cost
Env. (forest_a),IDDQN,0.0,,,,0.38303,,inf
Env. (forest_a),DQN,1.0,9.6217,0,0.4403,0.14641,1,9.695
Env. (forest_a),Hybrid A*,1.0,9.2829,5,0.458,1.60108,4,10.083
Env. (forest_a),RRT*,1.0,22.4234,0,0.4824,3.68604,1,24.266
Env. (forest_b),IDDQN,0.0,,,,0.25275,,inf
Env. (forest_b),DQN,0.0,,,,0.22398,,inf
Env. (forest_b),Hybrid A*,1.0,7.1779,6,0.4437,1.45949,4,7.908
Env. (forest_b),RRT*,1.0,9.2335,0,0.4453,0.69292,1,9.58
Env. (forest_c),IDDQN,0.0,,,,0.17848,,inf
Env. (forest_c),DQN,0.0,,,,0.19801,,inf
Env. (forest_c),Hybrid A*,1.0,7.4827,3,0.4347,0.76597,4,7.866
Env. (forest_c),RRT*,1.0,22.7487,0,0.4467,4.10508,1,24.801
Env. (forest_d),IDDQN,1.0,5.304,0,0.4355,0.15165,1,5.38
Env. (forest_d),DQN,1.0,5.6677,0,0.4707,0.11357,1,5.724
Env. (forest_d),Hybrid A*,1.0,5.679,6,0.4387,2.41045,4,6.884
Env. (forest_d),RRT*,1.0,9.2046,0,0.5002,0.11969,1,9.264
